[*] Current bb: 59660 | Edge number: 20283 | Level: 2 | Target: readelf.c:25387 | Next bb dom: 0 | location: ../../binutils/readelf.c :6808
[*] Current bb: 59660 | Edge number: 20283 | Level: 2 | Target: readelf.c:25387 | Next bb dom: 0 | location: ../../binutils/readelf.c :6808
[*] Current bb: 59660 | Edge number: 40339 | Level: 2 | Target: readelf.c:25387 | Next bb dom: 0 | location: ../../binutils/readelf.c :6808
[*] Current bb: 59660 | Edge number: 40339 | Level: 2 | Target: readelf.c:25387 | Next bb dom: 0 | location: ../../binutils/readelf.c :6808
[*] Current bb: 59660 | Edge number: 38659 | Level: 2 | Target: readelf.c:25387 | Next bb dom: 0 | location: ../../binutils/readelf.c :6808
[*] Current bb: 59660 | Edge number: 38659 | Level: 2 | Target: readelf.c:25387 | Next bb dom: 0 | location: ../../binutils/readelf.c :6808
[*] Current bb: 59660 | Edge number: 19441 | Level: 2 | Target: readelf.c:25387 | Next bb dom: 0 | location: ../../binutils/readelf.c :6808
[*] Current bb: 59660 | Edge number: 19441 | Level: 2 | Target: readelf.c:25387 | Next bb dom: 0 | location: ../../binutils/readelf.c :6808
[*] Current bb: 59660 | Edge number: 20478 | Level: 2 | Target: readelf.c:25387 | Next bb dom: 0 | location: ../../binutils/readelf.c :6808
[*] Current bb: 59660 | Edge number: 20478 | Level: 2 | Target: readelf.c:25387 | Next bb dom: 0 | location: ../../binutils/readelf.c :6808
[*] Current bb: 2916 | Edge number: 17988 | Level: 0 | Target: readelf.c:25387 | Next bb dom: 0 | location: ../../binutils/readelf.c :6805
[*] Current bb: 2916 | Edge number: 17988 | Level: 0 | Target: readelf.c:25387 | Next bb dom: 0 | location: ../../binutils/readelf.c :6805
[*] Current bb: 2916 | Edge number: 49043 | Level: 0 | Target: readelf.c:25387 | Next bb dom: 50270 | location: ../../binutils/readelf.c :6805
[*] Current bb: 2916 | Edge number: 49043 | Level: 0 | Target: readelf.c:25387 | Next bb dom: 50270 | location: ../../binutils/readelf.c :6805
[*] Current bb: 55329 | Edge number: 31003 | Level: 15 | Target: readelf.c:24975 | Next bb dom: 0 | location: ../../binutils/readelf.c :24975
[*] Current bb: 55329 | Edge number: 31003 | Level: 15 | Target: readelf.c:24975 | Next bb dom: 0 | location: ../../binutils/readelf.c :24975
[*] Current bb: 55329 | Edge number: 31003 | Level: 15 | Target: readelf.c:24975 | Next bb dom: 0 | location: ../../binutils/readelf.c :24975
[*] Current bb: 55329 | Edge number: 9937 | Level: 15 | Target: readelf.c:24975 | Next bb dom: 0 | location: ../../binutils/readelf.c :24975
[*] Current bb: 55329 | Edge number: 9937 | Level: 15 | Target: readelf.c:24975 | Next bb dom: 0 | location: ../../binutils/readelf.c :24975
[*] Current bb: 55329 | Edge number: 9937 | Level: 15 | Target: readelf.c:24975 | Next bb dom: 0 | location: ../../binutils/readelf.c :24975
[*] Current bb: 21136 | Edge number: 52248 | Level: 14 | Target: readelf.c:24975 | Next bb dom: 55329 | location: ../../binutils/readelf.c :24975
[*] Current bb: 21136 | Edge number: 52248 | Level: 14 | Target: readelf.c:24975 | Next bb dom: 55329 | location: ../../binutils/readelf.c :24975
[*] Current bb: 21136 | Edge number: 52248 | Level: 14 | Target: readelf.c:24975 | Next bb dom: 55329 | location: ../../binutils/readelf.c :24975
[*] Current bb: 21136 | Edge number: 52248 | Level: 14 | Target: readelf.c:24975 | Next bb dom: 55329 | location: ../../binutils/readelf.c :24975
[*] Current bb: 21136 | Edge number: 52248 | Level: 14 | Target: readelf.c:24975 | Next bb dom: 55329 | location: ../../binutils/readelf.c :24975
[*] Current bb: 21136 | Edge number: 39514 | Level: 14 | Target: readelf.c:24975 | Next bb dom: 0 | location: ../../binutils/readelf.c :24975
[*] Current bb: 21136 | Edge number: 39514 | Level: 14 | Target: readelf.c:24975 | Next bb dom: 0 | location: ../../binutils/readelf.c :24975
[*] Current bb: 21136 | Edge number: 39514 | Level: 14 | Target: readelf.c:24975 | Next bb dom: 0 | location: ../../binutils/readelf.c :24975
[*] Current bb: 21136 | Edge number: 39514 | Level: 14 | Target: readelf.c:24975 | Next bb dom: 0 | location: ../../binutils/readelf.c :24975
[*] Current bb: 21136 | Edge number: 39514 | Level: 14 | Target: readelf.c:24975 | Next bb dom: 0 | location: ../../binutils/readelf.c :24975
[*] Current bb: 32264 | Edge number: 39746 | Level: 13 | Target: readelf.c:24975 | Next bb dom: 21136 | location: ../../binutils/readelf.c :24841
